"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1257170815881228295","x1586188990994173952",2022-10-29 02:51:40,"ML_Tweet_Bot","Researchers at Georgia Tech Propose ‘LABOR’ (LAyer-neighBOR sampling), A New Sampling Algorithm-Based on Machine Learning - MarkTechPost https://t.co/02k3UN0TRh","MLTweetBotMK",139,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x835630778742603778","profrhill","en",,,,,,,,,,,,,,,,"x1586188969179766784","Researchers at Georgia Tech Propose ‘LABOR’ (LAyer-neighBOR sampling), A New Sampling Algorithm-Based on Machine Learning - MarkTechPost https://t.co/02k3UN0TRh",2022-10-29 02:51:34,"dlvr.it",0,1,"x835630778742603778","profrhill","Richard Hill",180,366,14101,"England, United Kingdom","#IoT and #TinyML, #ArtificialIntelligence, #Industry4.0 #HigherEducation #PFHEA #academicdevelopment (https://t.co/AO4c6Zxq2p) #NTF #Leadership",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ML_Tweet_Bot/status/1586188990994173952","Machine Learning Bot","Help us!","A bot, which retweet tweets that have ""Machine Learning"" in their content.  https://t.co/SV6bDgExNK","https://t.co/SV6bDgExNK",FALSE,9758,1,168,692482,109,2020-05-04 04:51:06,FALSE,"https://t.co/SV6bDgExNK","https://www.buymeacoffee.com/mltweetbot",,"https://pbs.twimg.com/profile_banners/1257170815881228295/1604526526",,"http://pbs.twimg.com/profile_images/1324106333268922369/SEF6rZgM_normal.jpg"
"x3324664368","x1586188972212236288",2022-10-29 02:51:35,"Egutz_","Researchers at Georgia Tech Propose ‘LABOR’ (LAyer-neighBOR sampling), A New Sampling Algorithm-Based on Machine Learning - MarkTechPost https://t.co/4NsuSzz8lV https://t.co/ezLyMnXTWB","dlvr.it",160,,,,FALSE,FALSE,0,1,,,,,"dlvr.it/Sbtnmz","https://t.co/4NsuSzz8lV","http://dlvr.it/Sbtnmz","http://pbs.twimg.com/media/FgNGdt4aUAAPwFQ.jpg","https://t.co/ezLyMnXTWB","https://twitter.com/Egutz_/status/1586188972212236288/photo/1","photo","http://pbs.twimg.com/media/FgNGdt4aUAAPwFQ.jpg","https://t.co/ezLyMnXTWB","https://twitter.com/Egutz_/status/1586188972212236288/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Egutz_/status/1586188972212236288","Egutz","Guadalajara, Jalisco","Servicios de Consultoría TI. Transformación Digital.
Tel. contacto: 52 33 23 59 41 40","https://t.co/0HZKT30V8G",FALSE,143,84,8,61562,66,2015-08-22 17:56:52,FALSE,"https://t.co/0HZKT30V8G","https://egutz.com",,"https://pbs.twimg.com/profile_banners/3324664368/1539924376","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1093646492391231488/wqLHIutc_normal.jpg"
"x835630778742603778","x1586188969179766784",2022-10-29 02:51:34,"profrhill","Researchers at Georgia Tech Propose ‘LABOR’ (LAyer-neighBOR sampling), A New Sampling Algorithm-Based on Machine Learning - MarkTechPost https://t.co/02k3UN0TRh","dlvr.it",160,,,,FALSE,FALSE,0,1,,,,,"dlvr.it/SbtnlY","https://t.co/02k3UN0TRh","http://dlvr.it/SbtnlY",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/profrhill/status/1586188969179766784","Richard Hill","England, United Kingdom","#IoT and #TinyML, #ArtificialIntelligence, #Industry4.0 #HigherEducation #PFHEA #academicdevelopment (https://t.co/AO4c6Zxq2p) #NTF #Leadership","https://t.co/IiG1Fnp23u",FALSE,180,366,0,14101,26,2017-02-25 23:21:17,FALSE,"https://t.co/IiG1Fnp23u","https://profrichardhill.com",,,,"http://pbs.twimg.com/profile_images/1108610874506399744/5QzzMKEX_normal.jpg"
"x1586077414140026882","x1586188895607484416",2022-10-29 02:51:17,"GoJackets90","Very excited to announce the launch of the Competitive Drive Initiative and the Accelerate GT Match Program.
 
Any new gift to @TheATFund Scholarship Fund made through Dec. 31 will be matched dollar-for-dollar by the Georgia Tech Foundation, up to $2.5m.  https://t.co/JL4BvAFdSN","Twitter for Android",139,,,,FALSE,TRUE,0,49,,,,,,,,,,,,,,,,"x1570490126","GTBattman","en",,,,,,,,,,,,,,,,"x1585642876813598720","Very excited to announce the launch of the Competitive Drive Initiative and the Accelerate GT Match Program.
 
Any new gift to @TheATFund Scholarship Fund made through Dec. 31 will be matched dollar-for-dollar by the Georgia Tech Foundation, up to $2.5m.  https://t.co/JL4BvAFdSN",2022-10-27 14:41:36,"Twitter for iPad",340,49,"x1570490126","GTBattman","J Batt",3848,498,989,"Atlanta, GA","Husband, Father and Blessed to Serve the Student-Athletes, Coaches, Staff and Supporters of Georgia Tech #TogetherWeSwarm",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GoJackets90/status/1586188895607484416","GoJackets","","Books, movies and a free town square",,FALSE,0,30,0,2,17,2022-10-28 19:28:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/1586077414140026882/1666985883",,"http://pbs.twimg.com/profile_images/1586079813462376451/29MouCE5_normal.jpg"
"x14680530","x1586188594376454145",2022-10-29 02:50:05,"SwimmingWorld","Peter Varjasi Posts Strong Freestyle Times as Florida State Sweeps Georgia Tech - https://t.co/O3WUWpoww2 https://t.co/3J2DKy6Htf","Swimming World Twitter",105,,,,FALSE,FALSE,0,0,,,,,"is.gd/CHoLPC","https://t.co/O3WUWpoww2","https://is.gd/CHoLPC","http://pbs.twimg.com/media/FgNGHu4UAAAPet5.jpg","https://t.co/3J2DKy6Htf","https://twitter.com/SwimmingWorld/status/1586188594376454145/photo/1","photo","http://pbs.twimg.com/media/FgNGHu4UAAAPet5.jpg","https://t.co/3J2DKy6Htf","https://twitter.com/SwimmingWorld/status/1586188594376454145/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SwimmingWorld/status/1586188594376454145","Swimming World","Ft. Lauderdale","The World's Most Trusted Source For Aquatic News | Est. 1960 | Instagram @swimmingworldmag","https://t.co/lpL15wJOVm",FALSE,103393,1697,767,135509,10838,2008-05-06 23:20:13,FALSE,"https://t.co/lpL15wJOVm","https://www.swimmingworldmagazine.com",,"https://pbs.twimg.com/profile_banners/14680530/1482441618","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1444350047311835141/oZnCElX6_normal.jpg"
"x4891266498","x1586187423926538240",2022-10-29 02:45:26,"T4gocraze","Mid Season JUCO Highlights 
AA in December/3.8 GPA

Georgia Tech Bounceback with 3 years of eligibility left
@CoachICOC @JUCOFFrenzy 

https://t.co/5GIoUhHF7O https://t.co/nYkRr1BZ0p","Twitter for iPhone",140,,,,FALSE,TRUE,0,50,,,,,,,,,,,,,,,,"x2585198568 x2287246718","peery661 CoachICOC","en",,,,,,,,,,,,,,,,"x1585884429611696128","Mid Season JUCO Highlights 
AA in December/3.8 GPA

Georgia Tech Bounceback with 3 years of eligibility left
@CoachICOC @JUCOFFrenzy 

https://t.co/5GIoUhHF7O https://t.co/nYkRr1BZ0p",2022-10-28 06:41:26,"Twitter for iPhone",103,50,"x2585198568","peery661","Chayden Peery",2138,1266,3350,"Castaic, CA","Transfer Quarterback at College of the Canyons Barstool Athlete",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/T4gocraze/status/1586187423926538240","Tim Willams IV","Los Angeles, CA","Inglewood Hs 20’ | Db | 6 ft 180 | NCAA qualifier 3.0 gpa 3 for 3","https://t.co/V7JVDRcbgq",FALSE,327,279,0,362,84,2016-02-11 05:53:49,FALSE,"https://t.co/V7JVDRcbgq","http://www.hudl.com/v/2JDCfX",,"https://pbs.twimg.com/profile_banners/4891266498/1602703558",,"http://pbs.twimg.com/profile_images/1396199104527560706/P876rP_7_normal.jpg"
"x63010637","x1586185824491683840",2022-10-29 02:39:05,"TFehn21","Coach Tony D'Amato's Goes For The Thumb In his 4th Year At #1 Boise State (13-0) National Championship Game Vs. Georgia Tech! https://t.co/BpkzwdUGrr","Streamlabs Twitter",149,,,,FALSE,FALSE,0,0,,,,,"twitch.tv/tfehn21","https://t.co/BpkzwdUGrr","https://twitch.tv/tfehn21",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TFehn21/status/1586185824491683840","Tom Fehn","Carmel, NY","Production Director For WCBS 880 & Audacy Imaging Director For The Mets Radio Network......Twitch Affiliate....Bears, Mets, Sonics, Rangers, & Arizona Hoops","https://t.co/QQdMXC0TQA",FALSE,678,1414,17,54537,35806,2009-08-05 02:49:19,FALSE,"https://t.co/QQdMXC0TQA","https://www.twitch.tv/tfehn21",,"https://pbs.twimg.com/profile_banners/63010637/1614702512","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1462935307226071044/Gl1npTUo_normal.jpg"
"x1049354482616881152","x1586185533767659520",2022-10-29 02:37:55,"mariettaesports","Our Rainbow Six team takes down another D1 school with their 2-0 victory over Georgia Tech.

Final Scores
Map 1: Marietta - 7, Georgia Tech - 1
Map 2: Marietta - 7, Georgia Tech - 5

Great job, everyone!","Twitter Web App",203,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mariettaesports/status/1586185533767659520","Marietta College Esports","Marietta, OH","Official Twitter for esports at @MariettaCollege.  Member of @NACEsports and @GLEC_GG . Esports scholarships available. Links: https://t.co/i1itTfVjRM","https://t.co/fsEtY0Wax8",FALSE,542,286,11,858,120,2018-10-08 17:42:59,FALSE,"https://t.co/fsEtY0Wax8","https://pioneers.marietta.edu/sports/esports",,"https://pbs.twimg.com/profile_banners/1049354482616881152/1560783881","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1284581650882539521/eIgYrAz9_normal.jpg"
"x1412185448869367809","x1586184427587002368",2022-10-29 02:33:32,"TheProLane","{ Igor Milicic &amp; Georgia Tech Zone } Still one of our favorite zones with the two guards jump switching all the action up top and the wings out high and wide on the perimeter. Full breakdown...

Coach Milicic 📺https://t.co/J6Gicr3kW5

Effective Zones 📺https://t.co/LWyBIvUlPT https://t.co/d0w239lkvW","Twitter for iPhone",144,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,,,"x1269036451196370944","SlappinGlass","en",,,,,,,,,,,,,,,,"x1585916786058444800","{ Igor Milicic &amp; Georgia Tech Zone } Still one of our favorite zones with the two guards jump switching all the action up top and the wings out high and wide on the perimeter. Full breakdown...

Coach Milicic 📺https://t.co/J6Gicr3kW5

Effective Zones 📺https://t.co/LWyBIvUlPT https://t.co/d0w239lkvW",2022-10-28 08:50:01,"Twitter Media Studio",102,10,"x1269036451196370944","SlappinGlass","Slappin' Glass",16831,440,4231,"","Exploring basketball's best ideas, strategies, and coaches. Free newsletter https://t.co/cTSwFEoDQN Join Slappin Glass Plus 👇🏻",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TheProLane/status/1586184427587002368","The Pro Lane","Milwaukee, Wisconsin","Game Day Ready. Game Day Results. We help players transform practice repetitions into game day results.","https://t.co/4yqTqUWI1q",FALSE,856,699,0,331,443,2021-07-05 23:03:59,FALSE,"https://t.co/4yqTqUWI1q","https://www.theprolane.com/",,"https://pbs.twimg.com/profile_banners/1412185448869367809/1665498325",,"http://pbs.twimg.com/profile_images/1518983581015711744/eF5ftgW9_normal.jpg"
"x2906867512","x1586184115480567810",2022-10-29 02:32:17,"therealkwat","Very excited to announce the launch of the Competitive Drive Initiative and the Accelerate GT Match Program.
 
Any new gift to @TheATFund Scholarship Fund made through Dec. 31 will be matched dollar-for-dollar by the Georgia Tech Foundation, up to $2.5m.  https://t.co/JL4BvAFdSN","Twitter for iPhone",139,,,,FALSE,TRUE,0,49,,,,,,,,,,,,,,,,"x1570490126","GTBattman","en",,,,,,,,,,,,,,,,"x1585642876813598720","Very excited to announce the launch of the Competitive Drive Initiative and the Accelerate GT Match Program.
 
Any new gift to @TheATFund Scholarship Fund made through Dec. 31 will be matched dollar-for-dollar by the Georgia Tech Foundation, up to $2.5m.  https://t.co/JL4BvAFdSN",2022-10-27 14:41:36,"Twitter for iPad",340,49,"x1570490126","GTBattman","J Batt",3848,498,989,"Atlanta, GA","Husband, Father and Blessed to Serve the Student-Athletes, Coaches, Staff and Supporters of Georgia Tech #TogetherWeSwarm",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/therealkwat/status/1586184115480567810","Kenyatta Watson","HOME","Director of Scouting and Pro Liaison GA TECH FOOTBALL BC Alum🦅","https://t.co/W7BQ7ewORt",FALSE,49758,13567,65,37516,47851,2014-12-05 20:47:47,FALSE,"https://t.co/W7BQ7ewORt","http://ramblinwreck.com",,"https://pbs.twimg.com/profile_banners/2906867512/1648503655","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1509747696923557894/PglANcvn_normal.jpg"
